SID,
https://groww.in/mutual-funds/icici-prudential-smallcap-fund-direct-plan-growth,small cap
https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,MidCap
https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,flexicap
https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,largecap
https://groww.in/mutual-funds/icici-prudential-elss-tax-saver-direct-plan-growth,elss
,
Factsheet,
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Midcap%20Fund.pdf,Midcap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20ELSS%20Tax%20Saver%20Fund.pdf,ELSS
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Large%20Cap%20Fund.pdf,Largecap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Smallcap%20Fund.pdf,small cap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Flexicap%20Fund.pdf,flexi cap
,
KIM,
https://groww.in/mutual-funds/icici-prudential-smallcap-fund-direct-plan-growth,small cap
https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,midcap
https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,large cap
https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,flexicap
https://groww.in/mutual-funds/icici-prudential-elss-tax-saver-direct-plan-growth,elss
,
SAI,
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=1&mfId=21,
,
Groww scheme specific data and FAQs,
https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,large cap
https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,mid cap
https://groww.in/mutual-funds/icici-prudential-smallcap-fund-direct-plan-growth,small cap
https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,flexi cap
https://groww.in/mutual-funds/icici-prudential-elss-tax-saver-direct-plan-growth,elss
,
ICICI Mutual fund FAQ,
https://www.icicipruamc.com/help-center/faqs,